IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location
131078386,ASSAULT,BATTERY OF A POLICE OFFICER,Monday,12/23/13,20:50,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.403743,37.7752317,"(37.7752316978114, -122.403742962696)"
131071841,ASSAULT,BATTERY OF A POLICE OFFICER,Saturday,12/21/13,11:34,BAYVIEW,JUVENILE CITED,2400 Block of SAN BRUNO AV,-122.4046915,37.73016824,"(37.7301682425694, -122.404691463048)"
131070467,ASSAULT,BATTERY OF A POLICE OFFICER,Friday,12/20/13,21:15,INGLESIDE,"ARREST, BOOKED",MISSION ST / 30TH ST,-122.4219709,37.74237522,"(37.7423752245255, -122.421970919029)"
131062113,ASSAULT,BATTERY OF A POLICE OFFICER,Wednesday,12/18/13,9:58,TENDERLOIN,"ARREST, BOOKED",300 Block of ELLIS ST,-122.4127661,37.78490188,"(37.7849018763291, -122.412766106077)"
131059966,ASSAULT,BATTERY OF A POLICE OFFICER,Tuesday,12/17/13,15:20,PARK,"ARREST, BOOKED",CORBETT AV / IRON AL,-122.4446669,37.75785271,"(37.7578527068227, -122.444666877037)"
131059568,ASSAULT,ASSAULT ON A POLICE OFFICER WITH A DEADLY WEAPON,Tuesday,12/17/13,2:00,TARAVAL,"ARREST, BOOKED",2100 Block of 20TH AV,-122.4770229,37.74735199,"(37.7473519851155, -122.477022890576)"
131058695,ASSAULT,BATTERY OF A POLICE OFFICER,Tuesday,12/17/13,9:19,SOUTHERN,"ARREST, BOOKED",11TH ST / MISSION ST,-122.4171049,37.77432429,"(37.7743242867907, -122.417104895556)"
131047579,ASSAULT,ASSAULT ON A POLICE OFFICER WITH A DEADLY WEAPON,Friday,12/13/13,11:00,INGLESIDE,"ARREST, BOOKED",100 Block of CAYUGA AV,-122.4329092,37.73047356,"(37.7304735553073, -122.432909205726)"
131045250,ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Thursday,12/12/13,14:21,TENDERLOIN,"ARREST, CITED",500 Block of JONES ST,-122.4130128,37.78617638,"(37.7861763790118, -122.413012753521)"
131032843,ASSAULT,AGGRAVATED ASSAULT ON POLICE OFFICER WITH A KNIFE,Saturday,12/7/13,20:50,RICHMOND,"ARREST, BOOKED",8000 Block of GEARY BL,-122.5055701,37.77910136,"(37.7791013649091, -122.505570109247)"
131030126,ASSAULT,BATTERY OF A POLICE OFFICER,Friday,12/6/13,18:00,SOUTHERN,"ARREST, BOOKED",1ST ST / HOWARD ST,-122.3960394,37.78853682,"(37.7885368188001, -122.396039441019)"
131024260,ASSAULT,BATTERY OF A POLICE OFFICER,Wednesday,12/4/13,19:23,SOUTHERN,"ARREST, BOOKED",100 Block of 6TH ST,-122.4076371,37.78027387,"(37.7802738656223, -122.407637127718)"
131014835,ASSAULT,BATTERY OF A POLICE OFFICER,Sunday,12/1/13,17:13,TENDERLOIN,"ARREST, BOOKED",MCALLISTER ST / LEAVENWORTH ST,-122.4136794,37.78092583,"(37.7809258336852, -122.413679376888)"
